class,light point,mean_red,mean_green,mean_blue,dark_point,point_size
Healthy,0,16.42645886479592,20.391800860969386,4.195133131377551,1,40
Healthy,1,38.34661989795919,51.15280213647959,3.9752471301020407,1,41
Healthy,1,39.685965401785715,51.418666294642854,4.338030133928571,1,52
Healthy,1,42.625119579081634,56.727260044642854,3.8957669005102042,1,33
Healthy,2,26.488062021683675,34.49296476403061,3.6378148915816326,2,0
Healthy,1,18.147580516581634,25.226422991071427,2.402523118622449,1,10
Healthy,1,26.296018016581634,27.907724808673468,3.05191725127551,2,0
Healthy,0,30.841298628826532,35.783761160714285,4.210040656887755,2,0
Healthy,1,18.92936862244898,22.749461894132654,1.7593670280612246,1,7
Healthy,0,34.330098054846935,38.07732780612245,3.200175382653061,2,0
Healthy,0,18.096241230867346,21.949637276785715,1.027084661989796,2,0
Healthy,1,23.64650430484694,28.766442123724488,1.5454400510204083,2,0
Healthy,0,19.164899553571427,25.94009088010204,2.1563695790816326,1,9
Healthy,0,20.716099330357142,24.89614556760204,2.310925542091837,1,4
Healthy,1,26.823800223214285,28.167809311224488,2.619140625,1,10
Healthy,0,26.921356823979593,27.408960459183675,7.983159279336735,1,26
Healthy,0,34.44622927295919,36.56395487882653,3.859913105867347,2,0
Healthy,0,17.369957748724488,19.294224330357142,1.3652144451530612,1,11
Healthy,1,31.408781090561224,33.815848214285715,8.88458625637755,2,0
Healthy,0,34.69439572704081,36.57505580357143,2.9085220025510203,2,0
Healthy,1,37.17681760204081,40.569754464285715,10.198341836734693,2,0
Healthy,0,44.0641940369898,47.27519132653061,2.352718431122449,1,73
Healthy,0,32.69710618622449,35.11342075892857,2.9036391900510203,2,0
